Source,Target,Type,Id,Label,timeset,Weight
510526195,219738802,Undirected,72227,,,1
510526195,211194578,Undirected,72228,,,1
510526195,268352745,Undirected,72229,,,1
167537977,24547229,Undirected,72230,,,1
167537977,54588236,Undirected,72231,,,1
167537977,71883143,Undirected,72232,,,1
167537977,79619063,Undirected,72233,,,1
167537977,194331076,Undirected,72234,,,1
167537977,116582327,Undirected,72235,,,1
167537977,169422154,Undirected,72236,,,1
167537977,209041156,Undirected,72237,,,1
94716049,16132186,Undirected,72238,,,1
94716049,40362866,Undirected,72239,,,1
94716049,116582327,Undirected,72240,,,1
94716049,64073049,Undirected,72241,,,1
94716049,73815532,Undirected,72242,,,1
94716049,112752674,Undirected,72243,,,1
94716049,71883143,Undirected,72244,,,1
94716049,205445869,Undirected,72245,,,1
94716049,121715946,Undirected,72246,,,1
94716049,315719045,Undirected,72247,,,1
94716049,275146452,Undirected,72248,,,1
141670707,66953272,Undirected,72249,,,1
141670707,67863405,Undirected,72250,,,1
141670707,88567308,Undirected,72251,,,1
141670707,136208885,Undirected,72252,,,1
141670707,143468727,Undirected,72253,,,1
141670707,115951892,Undirected,72254,,,1
141670707,120179319,Undirected,72255,,,1
141670707,169891746,Undirected,72256,,,1
141670707,133913319,Undirected,72257,,,1
141670707,205445869,Undirected,72258,,,1
141670707,152362221,Undirected,72259,,,1
141670707,238435946,Undirected,72260,,,1
252875074,7212979,Undirected,72261,,,1
252875074,92060343,Undirected,72262,,,1
252875074,135446161,Undirected,72263,,,1
252875074,138226638,Undirected,72264,,,1
252875074,163730915,Undirected,72265,,,1
252875074,174582691,Undirected,72266,,,1
252875074,182793830,Undirected,72267,,,1
252875074,229471806,Undirected,72268,,,1
252875074,240804007,Undirected,72269,,,1
252875074,266927028,Undirected,72270,,,1
252875074,296561587,Undirected,72271,,,1
252875074,335195107,Undirected,72272,,,1
252875074,559363887,Undirected,72273,,,1
135193637,10447459,Undirected,72274,,,1
135193637,16132186,Undirected,72275,,,1
135193637,194331076,Undirected,72276,,,1
135193637,136208885,Undirected,72277,,,1
135193637,102318620,Undirected,72278,,,1
135193637,67863405,Undirected,72279,,,1
135193637,40362866,Undirected,72280,,,1
135193637,139133946,Undirected,72281,,,1
135193637,237339816,Undirected,72282,,,1
135193637,70075646,Undirected,72283,,,1
135193637,165479849,Undirected,72284,,,1
135193637,151725827,Undirected,72285,,,1
135193637,143468727,Undirected,72286,,,1
135193637,115951892,Undirected,72287,,,1
135193637,503138605,Undirected,72288,,,1
135193637,120179319,Undirected,72289,,,1
135193637,65875061,Undirected,72290,,,1
135193637,169422154,Undirected,72291,,,1
135193637,135892323,Undirected,72292,,,1
135193637,73272828,Undirected,72293,,,1
135193637,88567308,Undirected,72294,,,1
135193637,207080978,Undirected,72295,,,1
135193637,112463747,Undirected,72296,,,1
135193637,153204015,Undirected,72297,,,1
135193637,73815532,Undirected,72298,,,1
135193637,169891746,Undirected,72299,,,1
135193637,71883143,Undirected,72300,,,1
135193637,133913319,Undirected,72301,,,1
135193637,205445869,Undirected,72302,,,1
135193637,44784586,Undirected,72303,,,1
135193637,268352745,Undirected,72304,,,1
135193637,152362221,Undirected,72305,,,1
135193637,315719045,Undirected,72306,,,1
135193637,238435946,Undirected,72307,,,1
219127512,10447459,Undirected,72308,,,1
219127512,102318620,Undirected,72309,,,1
219127512,40362866,Undirected,72310,,,1
219127512,151725827,Undirected,72311,,,1
219127512,115951892,Undirected,72312,,,1
219127512,73272828,Undirected,72313,,,1
219127512,47862023,Undirected,72314,,,1
219127512,153204015,Undirected,72315,,,1
219127512,205445869,Undirected,72316,,,1
219127512,44784586,Undirected,72317,,,1
219127512,36756507,Undirected,72318,,,1
219127512,88096232,Undirected,72319,,,1
219127512,73260737,Undirected,72320,,,1
10873146,489373999,Undirected,72321,,,1
10873146,136208885,Undirected,72322,,,1
10873146,67404479,Undirected,72323,,,1
10873146,236922007,Undirected,72324,,,1
10873146,143468727,Undirected,72325,,,1
10873146,264670562,Undirected,72326,,,1
10873146,311807631,Undirected,72327,,,1
10873146,24547229,Undirected,72328,,,1
10873146,54588236,Undirected,72329,,,1
10873146,71883143,Undirected,72330,,,1
10873146,205445869,Undirected,72331,,,1
10873146,163420963,Undirected,72332,,,1
10873146,36756507,Undirected,72333,,,1
10873146,53607529,Undirected,72334,,,1
10873146,152362221,Undirected,72335,,,1
10873146,238435946,Undirected,72336,,,1
10873146,220200611,Undirected,72337,,,1
10873146,75635939,Undirected,72338,,,1
10873146,145379012,Undirected,72339,,,1
10873146,156790498,Undirected,72340,,,1
10873146,167028125,Undirected,72341,,,1
10873146,168203826,Undirected,72342,,,1
10873146,217092999,Undirected,72343,,,1
10873146,283089883,Undirected,72344,,,1
10873146,303095365,Undirected,72345,,,1
10873146,363112213,Undirected,72346,,,1
10873146,485624626,Undirected,72347,,,1
10873146,516746519,Undirected,72348,,,1
10873146,550387844,Undirected,72349,,,1
10873146,552532100,Undirected,72350,,,1
10873146,566157702,Undirected,72351,,,1
88567308,104467153,Undirected,72352,,,1
88567308,122770041,Undirected,72353,,,1
88567308,142632180,Undirected,72354,,,1
88567308,145379012,Undirected,72355,,,1
88567308,163730915,Undirected,72356,,,1
88567308,167028125,Undirected,72357,,,1
88567308,174093998,Undirected,72358,,,1
88567308,182793830,Undirected,72359,,,1
88567308,335195107,Undirected,72360,,,1
301336888,66953272,Undirected,72361,,,1
301336888,40362866,Undirected,72362,,,1
301336888,47862023,Undirected,72363,,,1
301336888,70075646,Undirected,72364,,,1
301336888,73260737,Undirected,72365,,,1
